id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia  Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,232,1,48,2025-06-11,0.33,28,65,6,HUTB-002062
23197,"Forum CCIB DeLuxe, Spacious, Large Balcony, relax",90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41243172529066,2.219750335269476,Entire home/apt,382,3,88,2025-05-31,0.51,1,174,10,HUTB005057
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,186,1,147,2025-05-14,0.87,3,39,26,HUTB-001722
34241,Stylish Top Floor Apartment - Ramblas Plaza Real,73163,Andres,Ciutat Vella,el Barri Gòtic,41.38062,2.17517,Entire home/apt,131,31,25,2024-11-05,0.14,3,333,9,Exempt
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,449,5,267,2025-06-17,1.49,3,315,31,ESFCTU000008119000093652000000000000000HUTB-001506712
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.38043,2.19094,Private room,46,31,108,2023-12-13,0.65,1,89,0,
40983,Soho Colonial Eclectic Apartment,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,158,2,393,2025-06-22,2.30,7,273,73,HUTB-001282
41952,Modern Apartment - Sagrada Familia,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40568,2.16943,Entire home/apt,179,3,111,2025-06-02,0.70,1,314,23,HUTB-003549
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,186,1,135,2025-05-30,0.80,3,37,27,HUTB-001723
58512,Stylish & cozy 3BR near Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.41129,2.18193,Entire home/apt,252,9,410,2025-06-10,2.37,1,41,25,HUTB-009592
68547,Spacious 2 bedroom flat special offer 40% OFF,340570,Audun,Ciutat Vella,el Barri Gòtic,41.3806,2.17796,Entire home/apt,128,31,93,2024-09-08,0.54,2,359,1,
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,315,5,1,2011-06-23,0.01,1,233,0,HUTB-007966
71553,Best deals for penthouse near Sagrada Familia!,366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,209,2,84,2025-02-17,0.48,2,287,2,HUTB-002424
71736,Long term entire months more than 32 nitghts,368317,Nacharosa,Ciutat Vella,el Raval,41.38174,2.16663,Entire home/apt,99,31,10,2024-05-31,0.06,10,294,0,
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,322,1,984,2025-06-22,7.45,6,282,159,HUTB-000173
72793,Long  Term Colorist apartment minimon 32 nights,368317,Nacharosa,Ciutat Vella,el Raval,41.38104,2.16565,Entire home/apt,45,31,1,2014-08-27,0.01,10,176,0,
72794,LONG TERM FANTASTIC APARTMENT MINIMUM 32 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38214,2.16568,Entire home/apt,64,31,7,2014-08-23,0.04,10,337,0,
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,393,1,242,2025-06-17,1.41,3,33,23,HUTB-001723
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40682,2.18649,Entire home/apt,147,3,122,2025-06-18,0.74,10,143,22,HUTB-000083
80004,Parc Montjuic HUTB-004026 58,431839,Xavier,Sants-Montjuïc,el Poble Sec,41.37371,2.16706,Entire home/apt,125,5,201,2025-04-24,1.17,1,106,17,HUTB-004026
89776,Modernist aparment in the heart of the city,3556337,Alejandro,Eixample,la Dreta de l'Eixample,41.39224,2.17806,Entire home/apt,130,1,414,2025-06-08,2.50,78,325,38,HUTB-002215
95719,Lovely room  in the heart of Barcelona with A/C,509260,Dalila,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38496,2.17982,Private room,70,31,256,2022-10-06,1.48,2,361,0,
110041,002. Alió 2 Apartment,396363,Alcam Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,94,1,90,2025-06-14,0.57,84,289,29,HUTB-003671
112538,Design Apartment Sagrada Familia / Shared Terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,474,1,139,2025-06-08,0.82,6,83,14,HUTB-000333
