id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49163,11.33398,Private room,68,2,479,2025-09-04,2.62,2,65,41,IT037006C1C1767
59697,COZY LARGE BEDROOM in the city center,286688,Paolo,,Santo Stefano,44.48817,11.34124,Private room,50,31,242,2025-06-08,1.55,2,148,2,
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47888,11.35625,Entire home/apt,92,2,64,2025-05-25,0.39,1,256,4,IT037006C2QKQSH3S7
219878,Top floor with elevator for Long and Short Stays,1139326,Elisa,,Santo Stefano,44.48787,11.35392,Entire home/apt,133,28,185,2025-09-13,1.09,1,315,13,IT037006C2HQERHOGR
229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,143,3,99,2025-09-11,0.63,1,328,16,IT037006C2KRRTWGRT
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49544,11.33114,Entire home/apt,71,180,51,2020-03-01,0.31,1,0,0,
374610,Monolocale con WIFI cucina-bagno!,1884566,Federico,,Santo Stefano,44.48921,11.35713,Entire home/apt,,2,115,2025-04-03,0.75,4,116,1,IT037006C2PTCUBVDK
383256,Appartamento Open Space in centro!,1884566,Federico,,Porto - Saragozza,44.49984,11.34307,Entire home/apt,184,2,237,2025-08-21,1.45,4,40,17,IT037006C2UYW8RN2A
411523,Melograno's house,2048622,Irene,,Santo Stefano,44.4931,11.35442,Entire home/apt,162,2,143,2025-04-28,0.96,2,264,6,IT037006C2VL6I3CIH
584370,Cosy Single Room with  bathroom,2879369,Andrea,,Porto - Saragozza,44.49084,11.31162,Private room,122,1,27,2025-03-23,0.18,4,176,3,IT037006C1AZJOO6IC
606753,Two rooms in Bologna,2671558,Fabio,,Santo Stefano,44.47564,11.3727,Shared room,25,31,6,2015-08-17,0.04,2,20,0,
648513,Cosy studio in the World Heritage site,95428,Simona,,Porto - Saragozza,44.4937,11.34051,Entire home/apt,68,31,13,2024-10-08,0.08,2,125,2,
670725,Camera singola e bagno accogliente,3398944,Enzo,,Savena,44.46969,11.37699,Private room,86,1,8,2025-04-07,0.05,2,356,2,IT037006C1NJHJEAKO
684271,Ca 'de' Fiori self catering apartm.,3488947,Cristina,,Navile,44.51693,11.34565,Entire home/apt,106,31,4,2018-11-11,0.03,1,0,0,
690226,Bologna on the roof,2048622,Irene,,Santo Stefano,44.49007,11.35267,Entire home/apt,167,3,119,2025-09-18,0.75,2,292,17,IT037006C2VJWVDVI8
724304,Bologna cities and universities,3026417,Michela,,Santo Stefano,44.49383,11.35173,Entire home/apt,97,3,83,2025-07-20,0.54,1,270,9,IT037006C2M7CXWSAL
732525,room in Bologna with bathroom,2879369,Andrea,,Porto - Saragozza,44.49228,11.31329,Private room,196,1,19,2025-05-19,0.13,4,353,2,IT037006C1AZJOO6IC
742415,"large, quiet, in front off the the Bologna's fair",3858191,Ennio,,San Donato - San Vitale,44.50522,11.36354,Entire home/apt,1293,2,51,2025-05-25,0.37,2,333,6,IT037006C2HV3EKFPU
787769,cosy apartment downtown with terrace,4152306,Lisa,,Santo Stefano,44.49862,11.34679,Entire home/apt,108,2,59,2025-09-21,0.38,1,196,46,IT037006C2AQ79LH8E
793706,Miniappartamento in Tavernetta,4181174,Flavia,,Santo Stefano,44.48753,11.34114,Entire home/apt,60,3,388,2025-06-30,2.51,2,135,5,IT037006C2G2VFPREL
804596,Riva Reno 114 - A quiet Place in the city center,4235069,Elena,,Porto - Saragozza,44.4988,11.33933,Entire home/apt,186,2,261,2025-07-07,1.69,2,241,14,IT037006C26N837VRZ
840951,Attic in historical center,4170880,Laura,,Porto - Saragozza,44.49442,11.33176,Entire home/apt,96,3,157,2025-08-28,1.02,1,206,11,IT037006C2EUZAFYGV
842573,Artist's house,4399085,Anna,,Santo Stefano,44.48589,11.34867,Entire home/apt,65,31,47,2022-07-22,0.31,1,141,0,
860436,close to the station & the center with priv. bath.,4506590,Alessandro,,Navile,44.50986099243164,11.349018096923828,Private room,261,1,47,2025-01-01,0.31,2,92,1,IT037006B48EBY34UV
884148,APOSA FLAT / CITY CENTER - BO,4664996,Vie D'Acqua Di Sandra Maria,,Santo Stefano,44.49756,11.34428,Entire home/apt,120,1,722,2025-09-13,4.72,4,258,7,IT037006B4784CFSIV
944794,PrettyJewel Attic in Typical Village,3715410,Katia,,Borgo Panigale - Reno,44.51419,11.2841,Entire home/apt,70,2,203,2025-09-13,1.33,1,160,22,IT037006C25IFOGG93
952460,Apartment in the historical center,4928901,Milena,,Santo Stefano,44.48727,11.35021,Entire home/apt,129,2,292,2025-09-16,1.92,1,223,25,IT037006C2E9QOBMFB
