id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37736,Charming cozy apartment North Italy,162348,Daniele,,Trentino,46.43561,11.1038,Entire home/apt,75,7,120,2025-06-28,0.67,4,99,13,IT022253B566UC9TNJ
56292,Central apartment located on the ski slopes,266605,S.,,Trentino,46.23199,10.82732,Entire home/apt,99,7,20,2025-06-07,0.20,1,148,8,IT022143C2IU7Z7ICY
249351,B&B Casa dei Ricci in the Dolomites,1306234,Maddalena,,Trentino,46.36155,10.91591,Private room,83,31,12,2018-08-11,0.08,1,191,0,
299464,Residence Segattini Studio 2-3 Persone,1543124,Cristiano,,Trentino,45.90883,10.8466,Entire home/apt,157,3,1,2022-01-02,0.02,11,249,0,IT022153B4C5REPYIH
367596,"Apartment in Val Rendena, Pinzolo",1854440,Franca,,Trentino,46.15799,10.76669,Entire home/apt,91,3,42,2025-03-07,0.28,1,23,7,IT022143C2SDGYRLIZ
398211,Spacious apartment in South Tyrol,162348,Daniele,,Trentino,46.4336,11.10194,Entire home/apt,150,5,65,2025-06-11,0.42,4,43,9,IT022253B566UC9TNJ
398240,Charming apartment Trentino Italy,162348,Daniele,,Trentino,46.43562,11.10351,Entire home/apt,79,5,137,2025-06-15,0.88,4,100,14,IT022253B566UC9TNJ
398249,CharmyApartment with Private Garden,162348,Daniele,,Trentino,46.43542,11.10185,Entire home/apt,100,5,88,2025-06-19,0.55,4,283,20,IT022253B566UC9TNJ
414591,B&B Il Sorriso dei Nonni-Val Rabbi,2061778,Gemma,,Trentino,46.37324,10.87785,Private room,115,1,96,2025-01-26,0.60,4,290,1,IT022150C17VB72STQ
414829,Chalet Mas de la Bolp -Val di Rabbi,2062841,Cecilia,,Trentino,46.39911,10.84504,Entire home/apt,185,3,136,2025-05-04,0.88,2,114,5,IT022150B92K437HMA
506103,FUN SKI BIKE VAL DI SOLE DOLOMITI BRENTA,2494881,Giulia,,Trentino,46.31801,10.86405,Entire home/apt,144,7,49,2025-03-17,0.33,1,278,2,IT022064C2LAJNEHBN
541153,Apartment on Passo Costalunga ⛰,554435827,Angela,,Trentino,46.40362,11.61082,Entire home/apt,69,5,12,2023-08-12,0.08,1,2,0,IT022250A1V5HQEUG9
587230,Appartamento OLIVO,237862,Riccardo,,Trentino,45.89935,10.83322,Entire home/apt,110,2,154,2025-06-24,0.98,1,35,8,IT022153C2E4YHO36I
700213,Trento Center B&B Rosagalina,3592127,Sybille,,"Trento, Trentino",46.0651,11.13195,Entire home/apt,,2,142,2025-06-12,0.92,2,307,28,IT022205C13DXLBJZG
714320,Baita El Deroch - Bellamonte,3678898,Giacinta,,Trentino,46.30611965387076,11.692625651062125,Entire home/apt,353,3,2,2025-02-08,0.34,1,282,2,IT022147C27LBMAY9P
715781,Appartamento Campiglio,3688484,Emanuel,,Trentino,46.226,10.8291,Entire home/apt,285,6,0,,,2,178,0,IT022247C2C5K217H2
726907,un posto in paradiso,3764793,Alex,,Trentino,46.4224696,11.6765279,Entire home/apt,103,7,65,2025-06-08,0.51,2,25,12,IT022250C2NZOGY5Y7
726936,Bilocale Superior 4 pax,3764958,Mihaela,,Trentino,46.3154,10.80315,Entire home/apt,164,7,1,2014-02-17,0.01,3,191,0,IT022114B48R9IOZLR
727295,APARTMENTS CHALET VILLA BIANCA BREATHTAKING VIEW,3767430,Alessandra,,Trentino,46.32026,11.50228,Entire home/apt,440,7,6,2025-03-01,0.07,3,325,2,IT022196C2MAOY5D39
733477,Chalet Baita Giggia,3822241,Alessandro,,Trentino,46.25138,11.50229,Entire home/apt,208,3,56,2024-07-20,0.37,1,245,1,IT022050C2K42K62L3
740209,L'Oretta appartamento in centro con posto auto,3822407,Chiara,,Trentino,46.37484,11.66012,Entire home/apt,103,4,145,2025-05-04,0.95,4,160,19,IT022118C2C8YFN7EH
745668,SKIING AND SPAS IN PEIO,3910397,Flavio,,Trentino,46.36343,10.67674,Entire home/apt,109,2,32,2025-02-22,0.22,1,319,7,IT022136C2U3WD4V87
772315,Bilocale Standard 4 pax,3764958,Mihaela,,Trentino,46.31381,10.80984,Entire home/apt,134,7,0,,,3,191,0,IT022114B48R9IOZLR
772318,Monolocale 2 pax,3764958,Mihaela,,Trentino,46.31333,10.81371,Entire home/apt,115,7,0,,,3,191,0,IT022114B48R9IOZLR
856998,Mountain Chalet in the Stelvio National Park,4481466,Francesco,,Trentino,46.41644,10.77616,Entire home/apt,394,2,69,2025-06-22,0.46,1,275,14,IT022150B5JJLLAAO9
946214,Cartier Laurina 11 of Riz Eugenio,5127456,Eugenio E Rosanna,,Trentino,46.47606,11.74077,Entire home/apt,166,7,45,2024-03-16,0.33,2,32,0,IT022036C2PVYFZVZ3
960850,Cartier Laurina 19 of Riz Eugenio,5127456,Eugenio E Rosanna,,Trentino,46.47539,11.74081,Entire home/apt,168,7,35,2025-03-01,0.28,2,52,5,IT022036C25JKC86E4
1016693,Casa Belli Arco Apartment Lake Garda Adults Only,5595492,Franco,,Trentino,45.91943,10.87768,Entire home/apt,95,4,9,2025-06-13,0.08,1,238,1,IT022006C2UQNRTR92
1025536,Arco - Riva del Garda - WiFi,5646658,Natalya,,Trentino,45.92128,10.86529,Entire home/apt,58,2,230,2025-06-28,1.55,1,325,24,IT022006C2IHQS4MBC
1072852,"B&B Maso Toneto,  2 stanze",5896215,Paolo Pali,,Trentino,46.28187,11.43559,Private room,89,1,120,2025-02-09,0.93,1,329,7,IT022047C1GTR5PGJY
1149531,Energy - Lake - Home,6301184,Gianluigi,,Trentino,46.00608849823825,11.244802342310825,Entire home/apt,88,3,2,2015-08-08,0.02,1,84,0,IT022032C2PP68FLLD
1252024,"Superb view, close to city centre",6821775,Chiara,,"Trento, Trentino",46.07532,11.12961,Entire home/apt,,2,22,2025-06-02,0.16,3,132,2,IT022205C2ME4QYUX3
1278542,"Villa Gobbo Val di Non
Cin:it022173c2sp24qcaq",6957931,Nelida,,Trentino,46.33569,11.11789,Entire home/apt,47,3,33,2023-07-10,0.23,2,0,0,It022173c2sp24qcaq
1278750,"Mansarda
Cin: it022173c2sp24qcaq",6957931,Nelida,,Trentino,46.3371,11.11658,Entire home/apt,37,3,88,2025-01-04,0.60,2,64,2,it022173c2sp24qcaq
