id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6624,Venice garden charme and canal view!,15016,Francesca,Isole,Santa Croce,45.43977,12.32736,Entire home/apt,294,4,90,2025-07-03,0.53,2,343,2,IT027042C2R5QEM2Z5
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43853,12.3297,Entire home/apt,205,4,202,2024-06-01,1.08,2,313,0,IT027042C2HFAFX7HB
44527,Luxury Historic Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44569,12.32902,Entire home/apt,372,2,150,2025-06-10,0.86,2,290,8,IT027042B4GR0PSZS4
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43793,12.33246,Hotel room,122,2,429,2025-08-13,2.35,4,323,30,IT027042B4D3D4AUUS
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,150,3,140,2025-08-27,0.89,2,287,15,IT027042C2L6NZYNJR
60304,B&B  Venice Casa Baseggio,290452,Marco,Isole,Cannaregio,45.44453,12.333,Private room,170,1,160,2023-05-06,0.93,2,152,0,IT027042B4JG3TJH56
61714,B&B AL CANAL VENICE blue room canal view air cond,289023,Francesca,Isole,Giudecca,45.42708,12.31823,Private room,129,2,481,2025-08-22,2.72,2,241,33,IT027042C1NT8RRIFS
69877,Central room with garden's view,351965,Ca' Turelli,Isole,Dorsoduro,45.4338,12.32527,Private room,158,2,6,2017-05-11,0.04,3,304,0,IT027042B4XVN5TFC6
71735,a stone's throw to St.Markwith WiFi,368293,Grazia,Isole,San Marco,45.43367,12.33639,Entire home/apt,166,3,217,2025-07-27,1.25,3,261,22,IT027042C2LG7GAX8J
71874,rooms in Venice,369642,Valter,Isole,Santa Croce,45.44204,12.32694,Private room,82,1,154,2025-08-26,0.95,2,265,31,IT027042B40Z6IVYGS
72740,Eco Venice 1,377929,Attilio,Terraferma,Favaro,45.50793,12.28336,Entire home/apt,92,3,445,2025-07-27,2.55,5,34,28,IT027042B4I8XOSCJH
72821,Yacht Sarah Venezia  (with Option to Sail Away!),376806,Orlando,Isole,Sacca Fisola,45.42811,12.31702,Private room,,31,50,2022-10-13,0.29,1,0,0,
74042,Venice Luca's House,9609304,Luca,Isole,Castello,45.43369,12.35051,Entire home/apt,116,3,534,2025-08-22,3.08,3,30,7,IT027042C21DFDGOQF
74272,Ca' Annalaura 2 CIR 027042-LOC-06865,390175,Monica,Isole,Castello,45.43331,12.35038,Entire home/apt,97,3,382,2025-09-07,2.18,2,262,35,IT027042B48PUBNHNE
75376,Saint Mark apartment  in  Venice,399883,Monica,Isole,San Marco,45.43517,12.33554,Entire home/apt,167,3,215,2025-07-01,1.27,4,316,9,IT027042C2ASCXYP2A
75994,San Bortolomio Apartment - Close Ice Cream Suso,399883,Monica,Isole,San Marco,45.43746,12.337,Entire home/apt,183,3,188,2025-08-30,1.10,4,297,15,IT027042C2B4V69NTJ
77188,Ca' Annalaura 1  CIR 027042-LOC-05180,390175,Monica,Isole,Castello,45.43300234450528,12.348828735234395,Entire home/apt,108,3,396,2025-08-24,2.30,2,255,23,IT027042B4AOB4F4ZO
80403,Elegant apartment with privatgarden,434492,Stefano,Isole,Dorsoduro,45.4342,12.31943,Entire home/apt,142,3,69,2025-09-03,0.40,1,257,9,IT027042C2W9WLS6KL
83610,Venice biennale,434231,Magda,Isole,Castello,45.43442,12.34854,Entire home/apt,126,31,9,2024-09-05,0.06,1,195,0,
92159,B&B. AL CANAL VENICE  green room garden view,289023,Francesca,Isole,Giudecca,45.42703,12.31827,Private room,115,2,461,2025-07-28,2.66,2,252,24,IT027042C1NT8RRIFS
99238,Ca' Risorta  ♡ Your romantic retreat,419326,Federica,Isole,Cannaregio,45.44478,12.32861,Entire home/apt,,1,91,2022-05-30,0.83,1,0,0,IT027042C28ZY33GUW
129278,Villa with terrace in Venice Lido,485439,Elisabetta,Isole,Lido,45.40782,12.36728,Entire home/apt,300,14,8,2021-08-17,0.05,1,68,0,IT027042B4QKHFROYV
130605,Sweet dreams,642936,Maria,Isole,Santa Croce,45.44008478520303,12.322226455906147,Private room,89,3,463,2025-09-05,2.71,2,317,36,IT027042B49J4K5SRT
139786,Ca' Grassi 2 Charming Apt with Balcony,669047,Views On Venice,Isole,San Marco,45.4349,12.32989,Entire home/apt,270,1,54,2025-06-09,0.33,81,279,2,IT027042C2SFGV4HX5
139802,Ca' Grassi 1 Apartment for 4 Guests,669047,Views On Venice,Isole,San Marco,45.43467,12.32831,Entire home/apt,323,1,74,2025-07-31,0.48,81,276,7,IT027042C2BWCQVU8S
142085,Widmann apartment in Venice centre,1878243,Elisabetta,Isole,Cannaregio,45.44242,12.33955,Entire home/apt,125,5,510,2025-07-24,2.97,3,46,38,IT027042C2TFCZAQLV
145324,Double room with a View of the city,703872,Leonardo E Irene,Isole,Cannaregio,45.44211,12.33928,Private room,93,1,558,2025-08-17,3.24,3,1,49,IT027042C2256VY8PB
145631,[Venice Room 10 min by Tram] Free Parking & Wifi,704911,Alessandra,Terraferma,Villaggio San Marco,45.4832,12.2586,Private room,74,1,744,2025-08-20,4.31,2,360,50,IT027042C2GNPKT4HU
146821,"Ca' dell' Ambasciatore, Venezia",709828,Roberto,Isole,Castello,45.43101,12.35369,Entire home/apt,449,3,173,2025-09-05,1.10,2,238,8,IT027042C2UHFRQ4IW
148299,ARABESQUE- DAMASCO 4 PERSONS,716234,Paola,Isole,Castello,45.4362,12.34389,Hotel room,158,2,63,2025-08-29,0.37,3,38,15,IT027042B4OTJ42DZR
149749,"Venice, newly restored unit-apartm.",722130,Maddalena,Isole,Cannaregio,45.44087,12.34119,Entire home/apt,213,1,297,2024-10-14,1.75,1,186,1,IT027042C2PDZCDOFU
155015,nice and cozy open space apartment,745553,Rosanna E Francesca,Isole,Santa Croce,45.44085,12.32833,Entire home/apt,148,3,395,2025-08-25,2.33,4,283,14,IT027042C2W7KMXRW5
156728,Regina d'Oriente,745553,Rosanna E Francesca,Isole,Santa Croce,45.44019,12.33174,Entire home/apt,217,3,302,2025-08-19,1.82,4,278,21,IT027042C227TF7PPF
160426,Bright apartment in Venice with canal view,766256,Laura,Isole,Dorsoduro,45.4341,12.3211,Entire home/apt,209,3,447,2025-08-22,2.59,2,210,33,IT027042C2WUZQK3RE
163685,Ca'Falcao,781124,Nicolò,Isole,Cannaregio,45.44651,12.32536,Entire home/apt,98,1,468,2025-09-10,2.96,1,249,29,IT027042C2B95QBGWL
165705,ARABESQUE DJERBA 1 PERS.IN VENICE,716234,Paola,Isole,Castello,45.4354,12.34202,Hotel room,89,2,246,2025-09-09,1.43,3,34,26,IT027042B4OTJ42DZR
166381,Ca' Barba B&B: room n101,214390,Alessandro,Isole,San Polo,45.43821,12.3328,Hotel room,120,2,488,2025-08-17,3.49,4,310,47,IT027042B4D3D4AUUS
167145,Casa Carlo Goldoni Venice San Marco,796717,Diego Fabio,Isole,San Marco,45.43528,12.33741,Entire home/apt,164,2,204,2025-09-05,1.19,1,142,5,IT027042C2BK9DY4JI
167168,Ca 'Barba FLAT - Rialto,214390,Alessandro,Isole,San Polo,45.439,12.3319,Entire home/apt,505,4,14,2024-01-03,0.11,4,358,0,IT027042B4D3D4AUUS
170523,"Wi-Fi Venice Home: only 2 persons, loving",813513,Mara,Terraferma,San Lorenzo XXV Aprile,45.49611,12.24975,Entire home/apt,69,5,261,2025-09-07,1.52,2,350,23,IT027042C2CKH6EKIG
184374,ARABESQUE MARRAKESH DOUBLE VENICE,716234,Paola,Isole,Castello,45.43559,12.34205,Hotel room,,2,89,2025-07-01,0.52,3,49,4,IT027042B4OTJ42DZR
208801,Bright apartment in the heat of Venice with WIFI,1028258,Sandra,Isole,Castello,45.43798,12.33922,Entire home/apt,,31,454,2020-02-17,2.69,2,0,0,
217591,Royal Apartments Ca' Pierre,1123859,Lorenzo,Isole,Castello,45.43561,12.34661,Entire home/apt,209,2,54,2025-08-28,0.32,1,140,8,It027042c22h9t6ifl
218393,Wi-Fi Venice Little Garden: only 1 person,813513,Mara,Terraferma,San Lorenzo XXV Aprile,45.49621,12.24804,Entire home/apt,59,5,258,2025-07-04,1.52,2,322,15,IT027042C2CKH6EKIG
220238,Large apartment for 4,693554,Caterina,Isole,Castello,45.43125,12.35303,Entire home/apt,165,3,324,2025-08-24,1.91,1,107,32,IT027042C2RIA4GVMF
234465,SUNNY HOUSE IN VENICE,1227993,Giorgio,Isole,Dorsoduro,45.43176,12.31932,Entire home/apt,140,3,60,2025-08-16,0.36,1,48,9,IT027042C2KUWHW2JG
236585,lovely apartment Venice Lido with terrace,1240373,Francesca,Isole,Lido,45.4178,12.37249,Entire home/apt,114,3,254,2025-08-27,1.51,1,252,24,IT027042C2VDXIAAXV
238362,Camera Comfort,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,135,1,85,2025-04-05,0.54,3,311,2,IT027042B4S6WQ6PLR
238374,Camera Family,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,142,1,105,2025-05-06,0.65,3,348,2,IT027042B4S6WQ6PLR
238380,Room Accessible,564594,Eliana,Terraferma,Tessera,45.5032,12.32058,Private room,124,1,72,2025-05-17,0.45,3,315,6,IT027042B4S6WQ6PLR
246649,Venitian apartment  new and clean!,1275479,Giorgia&Michele,Isole,Dorsoduro,45.4365,12.32223,Entire home/apt,164,3,443,2025-08-25,2.65,3,290,39,IT027042C258M2CQZM
256874,"b&b S.Marco Venice, canal view room",1351366,Marco E Alice,Isole,Castello,45.43625,12.3456,Private room,116,4,28,2024-10-28,0.17,2,330,1,IT027042B4IXU5WOT8
260204,Micasa 2. Open Space with rooftops view.,1365288,Antonio,Isole,Santa Croce,45.44199,12.32915,Entire home/apt,81,5,219,2025-07-25,1.31,2,258,14,IT027042C2LNUJWRXG
260487,Waterfront Retreat in Renovated Historic Building,1366623,MATnIV,Isole,Giudecca,45.42833,12.31972,Entire home/apt,146,1,447,2025-08-01,2.71,1,138,30,IT027042C2QUZP7JS3
261432,Micasa 1. Rooftop Studio in Cannaregio.,1365288,Antonio,Isole,Cannaregio,45.44341,12.32901,Entire home/apt,75,5,242,2025-08-06,1.44,2,304,22,IT027042C2LNUJWRXG
261640,balcony canal view central Venice,1351366,Marco E Alice,Isole,Castello,45.43627,12.34559,Private room,128,3,64,2025-06-16,0.46,2,334,3,IT027042B4IXU5WOT8
263796,Dimora Canaletto - Casa dei Pittori,1384217,Francesco,Isole,Santa Croce,45.4392,12.32712,Entire home/apt,276,3,21,2025-06-29,0.17,7,247,4,IT027042B48D6LN8TK
265406,ampia camera doppia nel cuore di VE,703872,Leonardo E Irene,Isole,Cannaregio,45.44285,12.34019,Private room,,1,592,2025-07-09,3.74,3,0,40,IT027042C2256VY8PB
268865,AltanaAlbaChiara BestViewOfVenice SANITIZED,1408761,Chiara,Isole,San Polo,45.43892,12.33548,Entire home/apt,,3,329,2025-01-05,2.05,5,0,13,IT027042C2GR7PSTIR
272585,Apartment Fiori della Laguna,1426634,Ana Claudia,Isole,Dorsoduro,45.43069,12.33514,Entire home/apt,212,2,124,2024-11-03,0.76,1,336,1,IT027042C2BKXHSJUK
284305,CASA CLARA lots of comfort & space!,1480780,Ivo... & Family,Terraferma,Marghera,45.478,12.2267,Entire home/apt,91,3,345,2025-08-20,2.07,1,320,22,IT027042C2QL8FEGHP
